iter	RMSE
0	11577.36765
1	11200.30036
2	10806.40583
3	10463.53832
4	10113.8563
5	9752.139356
6	9416.141893
7	9098.928925
8	8817.912169
9	8552.917736
10	8299.689817
11	8044.389628
12	7808.157313
13	7596.447669
14	7379.677921
15	7196.786073
16	7019.791456
17	6839.737134
18	6682.473455
19	6535.203771
20	6400.765
21	6259.422795
22	6133.859745
23	6008.822574
24	5897.071227
25	5797.211829
26	5700.492149
27	5612.748069
28	5545.95966
29	5467.115046
30	5391.5746
31	5328.604534
32	5263.724432
33	5209.920018
34	5159.268739
35	5109.8114
36	5064.253308
37	5017.620122
38	4979.130733
39	4949.551314
40	4914.829642
41	4882.553604
42	4850.897112
43	4821.700237
44	4792.559285
45	4777.576632
46	4750.79471
47	4730.394617
48	4712.424415
49	4688.720461
50	4669.825271
51	4645.938902
52	4626.311526
53	4609.641588
54	4594.903721
55	4582.902444
56	4570.420378
57	4555.447187
58	4543.219983
59	4529.800151
60	4522.942417
61	4519.675179
62	4512.534019
63	4501.70474
64	4490.0771
65	4484.435743
66	4477.463135
67	4467.837598
68	4459.097451
69	4455.642206
70	4447.149975
71	4445.594099
72	4440.067689
73	4432.265083
74	4428.180497
75	4423.758772
76	4420.27725
77	4417.151765
78	4411.726208
79	4406.8132
80	4401.183235
81	4396.231839
82	4392.084593
83	4391.289787
84	4383.763371
85	4381.127116
86	4375.453842
87	4371.784604
88	4369.366661
89	4361.634723
90	4357.892181
91	4353.747793
92	4350.948337
93	4348.515779
94	4344.501679
95	4339.230727
96	4337.808144
97	4333.337617
98	4330.407049
99	4328.467588
100	4328.432945
101	4327.61404
102	4324.350562
103	4322.140943
104	4317.780963
105	4311.340304
106	4310.712085
107	4306.132517
108	4303.408654
109	4300.42767
110	4295.735537
111	4292.888195
112	4288.333931
113	4286.00931
114	4284.821204
115	4283.804538
116	4278.415101
117	4275.562607
118	4271.965312
119	4271.342864
120	4268.892217
121	4266.98844
122	4260.940527
123	4258.050582
124	4257.629158
125	4255.583378
126	4254.50471
127	4253.471835
128	4252.98434
129	4249.625479
130	4245.990518
131	4244.616066
132	4244.199919
133	4244.156397
134	4243.369347
135	4238.280816
136	4237.69969
137	4237.227275
138	4236.892348
139	4234.250169
140	4231.669376
141	4226.054433
142	4225.870743
143	4225.822209
144	4214.509632
145	4211.830674
146	4206.741057
147	4205.64831
148	4198.519574
149	4197.057207
150	4194.049891
151	4187.090224
152	4184.206773
153	4183.206352
154	4181.135846
155	4177.587378
156	4173.979589
157	4169.339585
158	4166.270583
159	4164.629105
160	4163.624746
161	4161.989476
162	4160.466091
163	4157.960652
164	4157.931451
165	4156.941303
166	4149.663172
167	4146.148224
168	4139.793283
169	4136.879024
170	4135.45845
171	4133.131691
172	4127.114992
173	4126.498772
174	4124.901649
175	4120.177565
176	4116.438681
177	4112.815011
178	4112.813556
179	4112.340875
180	4111.910811
181	4111.604155
182	4109.249983
183	4108.078905
184	4106.373306
185	4095.941242
186	4095.554517
187	4095.52955
188	4095.240215
189	4093.164793
190	4090.390805
191	4087.607034
192	4083.520695
193	4080.978586
194	4077.86105
195	4077.164386
196	4077.062924
197	4076.824977
198	4074.410676
199	4074.307005
200	4074.004682
201	4071.624252
202	4071.499655
203	4071.043665
204	4067.359578
205	4067.260241
206	4066.025406
207	4062.909315
208	4056.280439
209	4052.193703
210	4051.224186
211	4049.021516
212	4048.665685
213	4043.217333
214	4042.218994
215	4038.97312
216	4037.51045
