iter	RMSE
0	7469.963245
1	7213.5387
2	6972.808727
3	6735.030987
4	6482.696561
5	6292.560209
6	6036.663952
7	5806.12636
8	5580.932313
9	5423.76418
10	5242.226378
11	5086.771087
12	4920.965401
13	4799.715014
14	4660.721875
15	4505.402259
16	4394.617539
17	4233.328287
18	4090.990364
19	4011.592422
20	3869.268261
21	3800.396062
22	3708.3743
23	3591.228804
24	3477.729725
25	3361.629522
26	3307.397612
27	3191.229139
28	3108.126826
29	3040.958965
30	2939.479373
31	2852.100671
32	2776.173895
33	2706.206149
34	2676.491517
35	2617.501735
36	2560.189952
37	2499.681521
38	2440.308153
39	2398.890054
40	2380.800432
41	2331.830962
42	2279.39695
43	2265.299888
44	2237.150194
45	2182.965748
46	2131.366292
47	2095.780639
48	2083.389962
49	2047.395946
50	2014.494119
51	1991.289602
52	1925.024323
53	1864.06798
54	1829.978105
55	1764.052919
56	1741.249851
57	1680.139011
58	1640.263674
59	1616.532208
60	1569.659384
61	1525.807114
62	1476.751983
63	1426.519567
64	1423.397386
65	1390.647558
66	1384.950204
67	1368.228599
68	1366.098196
69	1322.937695
70	1305.781964
71	1267.656169
72	1255.011571
73	1234.505796
74	1230.968385
75	1219.064585
76	1184.553944
77	1172.615566
78	1139.322485
79	1127.144977
80	1095.801614
81	1065.587033
82	1055.928308
83	1036.803179
84	1033.015701
85	1008.16604
86	987.1035275
87	980.8488117
88	978.9236711
89	975.4469343
90	957.1545762
91	933.209424
92	909.7059851
93	907.4089834
94	888.2598035
95	867.6406577
96	864.8998435
97	844.3656022
98	838.1727616
99	819.7861771
100	802.365
101	785.9075024
102	781.6927379
103	780.928184
104	765.1110771
105	760.6318668
106	758.5876115
107	746.0255436
108	742.7967275
109	740.2703071
110	736.0441189
111	723.1794423
112	721.5597104
113	707.2636478
114	693.5363267
115	681.8454292
116	676.3177101
117	665.5802585
118	656.688241
119	647.2473292
120	640.490144
121	627.0845756
122	615.4044929
123	604.7495388
124	593.0739394
125	584.4776656
126	575.0817545
127	566.8460846
128	561.1740234
129	552.0571532
130	544.5074142
131	537.7290198
132	532.4781436
133	527.1212765
134	526.3971387
135	523.6499189
136	515.6321445
137	507.1666343
138	505.2862772
139	498.0181222
140	495.2388126
141	491.4465618
142	484.5949968
143	478.9957615
144	474.0131479
145	468.9780739
146	466.801607
147	461.0655962
148	459.1170227
149	458.2850489
150	451.5491832
151	449.2197586
152	444.4747936
153	438.9542578
154	435.499905
155	432.9980653
156	428.3332669
157	424.135379
158	419.9708975
159	418.1182207
160	412.8541225
161	411.1608655
162	406.2995124
163	400.9500334
164	397.5146777
165	393.2081213
166	392.0171305
167	388.5203442
168	382.9014507
169	380.2981595
170	376.7483684
171	375.3666301
172	371.6934873
173	370.449204
174	368.4352695
175	364.2981794
176	361.1940324
