iter	Passed	Remaining
0	176	88046
1	223	55625
2	243	40379
3	300	37295
4	330	32671
5	378	31124
6	419	29553
7	435	26765
8	468	25584
9	506	24821
10	552	24547
11	576	23464
12	616	23107
13	646	22443
14	681	22030
15	717	21693
16	733	20830
17	774	20732
18	815	20657
19	858	20601
20	886	20225
21	932	20270
22	972	20173
23	997	19790
24	1026	19506
25	1067	19463
26	1103	19335
27	1144	19301
28	1180	19174
29	1222	19154
30	1247	18869
31	1283	18774
32	1309	18535
33	1330	18230
34	1357	18041
35	1381	17810
36	1415	17713
37	1439	17501
38	1458	17244
39	1477	16992
40	1502	16816
41	1543	16836
42	1571	16706
43	1614	16731
44	1657	16761
45	1709	16875
46	1753	16903
47	1809	17043
48	1867	17192
49	1895	17062
50	1938	17063
51	1971	16983
52	2014	16993
53	2056	16986
54	2067	16725
55	2106	16705
56	2150	16717
57	2193	16713
58	2234	16698
59	2273	16673
60	2318	16688
61	2370	16746
62	2422	16801
63	2476	16870
64	2522	16881
65	2568	16886
66	2615	16900
67	2695	17127
68	2746	17158
69	2800	17204
70	2856	17259
71	2901	17246
72	2954	17278
73	2988	17204
74	3033	17188
75	3068	17119
76	3091	16985
77	3142	17003
78	3198	17044
79	3248	17052
80	3299	17067
81	3330	16978
82	3375	16956
83	3433	17005
84	3533	17251
85	3592	17292
86	3639	17276
87	3689	17272
88	3741	17279
89	3764	17147
90	3804	17101
91	3853	17089
92	3890	17024
93	3935	16996
94	3987	16999
95	4018	16911
96	4061	16872
97	4106	16843
98	4117	16679
99	4154	16616
100	4186	16537
101	4230	16505
102	4274	16475
103	4308	16405
104	4352	16374
105	4399	16351
106	4444	16325
107	4467	16215
108	4515	16197
109	4530	16064
110	4573	16028
111	4589	15900
112	4633	15870
113	4680	15848
114	4725	15819
115	4770	15791
116	4788	15674
117	4822	15611
118	4868	15586
119	4916	15569
120	4962	15543
121	5007	15515
122	5062	15518
123	5113	15504
124	5153	15460
125	5198	15429
126	5221	15334
127	5264	15299
128	5310	15272
129	5359	15255
130	5410	15241
131	5462	15228
132	5514	15215
133	5575	15227
134	5620	15196
135	5667	15167
136	5714	15141
137	5758	15104
138	5801	15066
139	5846	15033
140	5893	15004
141	5936	14967
142	5984	14939
143	6030	14908
144	6075	14874
145	6123	14846
146	6140	14745
147	6184	14709
148	6236	14690
149	6249	14581
150	6300	14563
151	6320	14469
152	6368	14442
153	6386	14349
154	6421	14293
155	6478	14285
156	6529	14265
157	6585	14254
158	6640	14242
159	6700	14238
160	6749	14211
161	6800	14189
162	6851	14165
163	6870	14075
164	6920	14051
165	6975	14034
166	7034	14027
167	7090	14012
168	7149	14001
169	7200	13977
170	7249	13947
171	7283	13890
172	7317	13832
173	7370	13809
174	7416	13774
175	7444	13705
176	7487	13664
177	7533	13628
178	7580	13593
179	7622	13551
180	7666	13512
181	7716	13483
182	7764	13449
183	7808	13410
184	7852	13371
185	7940	13404
186	8014	13415
187	8070	13393
188	8131	13380
189	8190	13362
190	8240	13332
191	8293	13304
192	8347	13278
193	8406	13259
194	8453	13222
195	8501	13186
196	8545	13144
197	8591	13103
198	8639	13068
199	8687	13031
200	8736	12996
201	8789	12967
202	8835	12926
203	8883	12889
204	8932	12853
205	8977	12812
206	9025	12774
207	9074	12738
208	9124	12705
209	9171	12665
210	9218	12626
211	9267	12590
212	9318	12555
213	9367	12518
214	9410	12474
215	9450	12425
216	9503	12394
217	9554	12359
218	9603	12322
219	9651	12283
220	9707	12254
221	9763	12226
222	9815	12192
223	9875	12167
224	9927	12133
225	9981	12101
226	10032	12065
227	10084	12030
228	10135	11994
229	10187	11959
230	10239	11923
231	10285	11881
232	10334	11842
233	10388	11809
234	10442	11776
235	10488	11732
236	10538	11694
237	10587	11654
238	10637	11616
239	10684	11575
240	10735	11537
241	10788	11501
242	10838	11462
243	10889	11425
244	10938	11384
245	10997	11355
246	11046	11314
247	11097	11276
248	11150	11239
249	11198	11198
250	11249	11159
251	11306	11127
252	11369	11099
253	11421	11061
254	11475	11025
255	11535	10994
256	11594	10962
257	11652	10929
258	11705	10892
259	11752	10848
260	11801	10806
261	11849	10764
262	11888	10712
263	11926	10661
264	11974	10619
265	12015	10569
266	12061	10525
267	12100	10474
268	12146	10431
269	12194	10388
270	12250	10351
271	12301	10311
272	12354	10272
273	12409	10235
274	12463	10197
275	12513	10156
276	12562	10113
277	12607	10068
278	12653	10023
279	12704	9981
280	12822	9993
281	12906	9977
282	12952	9931
283	13052	9927
284	13112	9891
285	13291	9945
286	13365	9919
287	13449	9900
288	13522	9872
289	13623	9865
290	13720	9854
291	13819	9844
292	13923	9836
293	14007	9814
294	14086	9788
295	14148	9750
296	14190	9699
297	14236	9650
298	14280	9599
299	14324	9549
300	14381	9508
301	14434	9463
302	14484	9417
303	14529	9367
304	14577	9320
305	14622	9270
306	14667	9220
307	14712	9171
308	14756	9121
309	14801	9071
310	14845	9021
311	14890	8972
312	14947	8930
313	15017	8895
314	15067	8849
315	15105	8795
316	15162	8753
317	15210	8705
318	15263	8660
319	15306	8609
320	15348	8559
321	15398	8512
322	15457	8470
323	15515	8428
324	15563	8380
325	15610	8331
326	15666	8288
327	15714	8240
328	15762	8192
329	15820	8149
330	15870	8103
331	15916	8053
332	15962	8005
333	16006	7955
334	16065	7912
335	16111	7864
336	16156	7814
337	16207	7768
338	16256	7720
339	16319	7679
340	16368	7632
341	16414	7583
342	16458	7533
343	16504	7484
344	16555	7437
345	16610	7393
346	16660	7345
347	16713	7300
348	16760	7251
349	16808	7203
350	16867	7160
351	16914	7111
352	16964	7064
353	17009	7015
354	17054	6966
355	17108	6920
356	17169	6877
357	17238	6837
358	17286	6789
359	17331	6740
360	17375	6690
361	17420	6640
362	17463	6590
363	17512	6543
364	17557	6493
365	17605	6445
366	17649	6396
367	17700	6349
368	17744	6299
369	17800	6254
370	17848	6205
371	17901	6159
372	17946	6110
373	17991	6061
374	18045	6015
375	18090	5966
376	18134	5916
377	18191	5871
378	18238	5822
379	18303	5780
380	18388	5743
381	18537	5726
382	18600	5682
383	18684	5644
384	18736	5596
385	18782	5547
386	18872	5510
387	18943	5468
388	18989	5418
389	19032	5368
390	19076	5317
391	19143	5274
392	19225	5234
393	19302	5192
394	19378	5151
395	19455	5109
396	19529	5066
397	19600	5023
398	19671	4979
399	19744	4936
400	19795	4887
401	19841	4837
402	19896	4789
403	19953	4741
404	19996	4690
405	20043	4640
406	20089	4590
407	20137	4540
408	20205	4495
409	20260	4447
410	20315	4399
